Романова Варвара Борисовна;Глазов;пр. Воровского, д. 6/4 к. 33;Сахалин Энерджи;Кондитер;8 (670) 341-57-04;shcherbakovjaropolk@mail.ru;1960-08-13;85708
Нонна Сергеевна Михайлова;Уренгой;пер. Леонова, д. 7/8 стр. 745;Модум-транс;Инженер;+7 (030) 554-4900;ija11@mail.ru;1988-06-25;108016
Епифан Александрович Некрасов;Ярославль;наб. Азина, д. 90;Юг-Нефтепродукт;Снайпер;+7 141 994 3546;klavdi_2018@yahoo.com;1966-06-07;95613
Фокина Вероника Оскаровна;Баксан;пр. Крупской, д. 5/1 к. 8;АСЦ-Холдинг;Драпировщик;+7 941 482 64 01;ermil2014@yahoo.com;1965-05-10;21981
Карл Ильясович Михайлов;Шамары;ул. 70 лет Октября, д. 5/2 к. 1/5;СК Согласие;Диджей;8 (461) 585-4570;tverdislav_33@yandex.ru;1974-02-22;130288
Олимпиада Афанасьевна Смирнова;Бирск;наб. Магистральная, д. 432;Купишуз (Lamoda);Нарколог;+7 498 976 80 53;bazhen_28@mail.ru;1973-03-11;89674
Майя Васильевна Жданова;Самара;пр. Чкалова, д. 5/6;Ягуар ленд ровер;Проректор;+7 (437) 093-3755;sila2017@gmail.com;1986-04-29;41415
Богданов Сергей Фадеевич;Аша;ул. Студенческая, д. 67 стр. 55;НК Дулисьма;Страховой агент;+73970026115;noskovsavvati@rambler.ru;1978-04-18;199542
Архип Валентинович Рыбаков;Черняховск;пер. Запрудный, д. 16 к. 3/5;Азур Эйр;Выпускающий редактор;+7 (553) 089-1855;kulikovadarja@mail.ru;1991-05-11;117659
Савватий Игнатьевич Смирнов;Шереметьево;пер. Железнодорожный, д. 434 стр. 82;НПК Объединенная вагонная компания;Плотник;+7 (182) 867-2364;elizaveta2007@yahoo.com;1996-03-13;149519
Носкова Регина Мироновна;Оленегорск (Якут.);наб. Гастелло, д. 26 к. 91;Сибуглемет;Музыкант;8 284 273 4073;anani_03@gmail.com;1980-09-28;77296
Феофан Юлианович Цветков;Гаврилов-Ям;бул. Водников, д. 6 стр. 7;Металлоинвест;Портной;8 398 555 6763;vitali_18@gmail.com;1970-07-21;144965
Эрнест Федотович Трофимов;Белореченск;алл. Суворова, д. 5;ФГ Будущее;Инженер-конструктор;8 (136) 231-76-38;kornil_81@hotmail.com;2002-03-10;119281
Богданова Евпраксия Богдановна;Тулпан;ш. Волгоградское, д. 936;Метро Кэш энд Керри (Metro Cash & Carry);Правовед;+7 417 710 1655;muhinfortunat@yahoo.com;1976-10-14;140362
Наталья Аркадьевна Матвеева;Балашиха;пр. Дальневосточный, д. 7/8 стр. 9/2;ММК;Критик;8 914 386 5004;janivanov@gmail.com;1994-06-19;113359
Зимин Ульян Александрович;Аша;алл. Юбилейная, д. 61 стр. 91;ДСК Автобан;Месильщик;8 (626) 601-5134;gostomisl24@gmail.com;1991-07-31;60055
Большаков Велимир Дорофеевич;Котельнич;пр. Кавказский, д. 22;Русэнергосбыт;Брейдер;8 (285) 571-52-66;glafira_01@yandex.ru;1957-02-22;91598
Евстигней Ильич Тетерин;Алагир;бул. Мелиораторов, д. 2;ММК;Комендант;+7 (935) 493-46-03;antonin2003@rambler.ru;1988-09-13;199061
Хохлов Любомир Адамович;Ангарск;наб. Санаторная, д. 974;Российские железные дороги;Борт-стрелок;8 463 618 21 97;zaharovjuri@yahoo.com;1971-02-06;76976
Лазарь Зиновьевич Потапов;Красновишерск;наб. Пушкина, д. 8 стр. 7/3;Мособлгаз;Страховой агент;8 123 820 35 14;hfedorov@yandex.ru;1974-10-29;157150
Шаров Виталий Теймуразович;Магас;бул. Лесхозный, д. 205 к. 795;ТД БелАЗ;Фельдшер;8 618 647 1252;terenti12@gmail.com;1954-10-21;151665
Надежда Кирилловна Сафонова;Макушино;пер. Толбухина, д. 8;Таркетт Рус (Tarkett);Аккумуляторщик;81962594859;longin_97@yandex.ru;1997-05-17;164753
Вениамин Якубович Потапов;Троицк (Челяб.);пр. Малый, д. 163 стр. 3/8;АльфаСтрахование;Техник;+7 603 717 93 19;alekseevoleg@rambler.ru;1955-01-09;138479
Моисеева София Сергеевна;Тавда;пер. Лесхозный, д. 6/5 стр. 8;ДК Рус;Садовод;8 (467) 204-98-95;aristarh35@yahoo.com;2003-08-24;168392
Пономарев Галактион Трофимович;Ухта;ш. Котовского, д. 3/7;РМ Рейл;Слесарь;8 (159) 648-8026;maksimovavasilisa@rambler.ru;2002-06-05;173226
Роман Викентьевич Кудряшов;Холмогоры;пер. Подгорный, д. 96 стр. 304;Новартис Фарма (Novartis);Эндоскопист;8 889 660 72 40;demjan2013@yahoo.com;1985-09-01;147069
Ангелина Анатольевна Шашкова;Североуральск;пр. Спартака, д. 1 к. 95;Нижнекамскнефтехим;Зенитчик;+7 (144) 910-7477;anatoli1985@rambler.ru;2004-10-19;94188
Федот Викентьевич Коновалов;Орел;ш. Бригадное, д. 1 стр. 27;Солид-товарные рынки;Оператор кино и телевидения;+7 (596) 608-51-30;sila_65@hotmail.com;2001-08-11;95740
Андрей Юльевич Терентьев;Шали;бул. Карла Маркса, д. 3 к. 8/4;Транспортная группа FESCO;Спортивный врач;+7 914 976 0390;hariton_2009@mail.ru;1955-10-18;85198
Миронов Лукьян Ермилович;Ступино;ул. Ворошилова, д. 2/9 к. 68;Втормет;Формовщик;+7 285 966 26 47;maja04@hotmail.com;1970-12-05;77640
Евдокия Константиновна Бирюкова;Красновишерск;наб. Войкова, д. 897 стр. 1/1;Гиперглобус (Bruch-Beteiligungs);Маркетолог;8 367 614 0329;konon_94@yandex.ru;1973-02-08;157576
Галактион Давыдович Елисеев;Кропоткин (Краснод.);бул. Короленко, д. 3/5 к. 61;Группа ГМС;Маркитант;8 (962) 242-1209;ljubov_1971@gmail.com;1966-11-12;137981
Ярослав Глебович Нестеров;Махачкала;наб. Сплавная, д. 384 стр. 155;Сталепромышленная компания;Инженер;+7 750 269 18 40;kazakovlavrenti@rambler.ru;1981-10-17;97078
